epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.6077,1.02208,1.56937,1.16982,0.83238,0.67188,0.75871,0.56133,0.92749,0.86507,1.03603,0.0700857,0.00332381,0.00332381
2,138.761,1.03382,1.05496,1.15369,0.82148,0.68653,0.76882,0.58032,0.93157,0.83381,1.03917,0.0399539,0.00652533,0.00652533
3,204.708,1.07174,1.09013,1.17023,0.83345,0.67078,0.76379,0.56425,0.96772,0.87999,1.06157,0.00969009,0.00959485,0.00959485
4,270.346,1.08046,1.08548,1.1817,0.85263,0.67555,0.77098,0.57994,0.94439,0.83743,1.05133,0.009406,0.009406,0.009406
5,335.434,1.05521,1.05672,1.16914,0.82938,0.69492,0.77684,0.58143,0.94173,0.82064,1.05592,0.009208,0.009208,0.009208
6,401.28,1.04959,1.03527,1.16382,0.84982,0.69385,0.77865,0.5854,0.93855,0.80521,1.05309,0.00901,0.00901,0.00901
7,467.064,1.0466,1.02641,1.16507,0.84927,0.69142,0.77917,0.58868,0.93257,0.79704,1.04707,0.008812,0.008812,0.008812
8,532.854,1.03083,1.00401,1.1536,0.83762,0.69089,0.7756,0.5873,0.92484,0.80024,1.04676,0.008614,0.008614,0.008614
9,598.394,1.02699,0.99743,1.1532,0.84143,0.6986,0.78105,0.59124,0.92557,0.7852,1.04186,0.008416,0.008416,0.008416
10,664.339,1.01962,0.9915,1.15071,0.84207,0.69589,0.78149,0.59112,0.91994,0.77852,1.04041,0.008218,0.008218,0.008218
11,729.936,1.01963,0.97846,1.14792,0.84367,0.70257,0.78441,0.59405,0.91946,0.77607,1.03772,0.00802,0.00802,0.00802
12,795.413,1.01772,0.98243,1.14767,0.84242,0.69569,0.78194,0.59601,0.91246,0.77511,1.03521,0.007822,0.007822,0.007822
13,861.281,1.00985,0.97322,1.14249,0.8258,0.70284,0.78187,0.59248,0.91427,0.76865,1.03878,0.007624,0.007624,0.007624
